line,break
1,Ἑλικῶνος
2,ποιητικῆς·
3,"ἔθηκα,"
4,"πολέμου,"
5,ἐμβαλλεῖν
6,"ἀπήλλαξαν,"
7,"μιμούμενοι,"
8,μάχη.
9,"διασωθεὶς,"
10,"σιαγόνα,"
11,ἐθεάσατο
12,τοιοῦτον.
13,σε;
14,ἐννοήσω.
15,"ἄξω,"
16,ἀγαθάς.
17,λίμνην
18,ἡμέρας·
19,Ὑδρομεδούσῃ
20,ποταμοῦ.
21,"ἄλλων,"
22,πολεμιστὴν
23,γενεάν.
24,εἶπε·
25,ἅπασι
26,οὐρανοῦ·
27,ὑιὸς
28,ἐστὶ
29,Πτερνοτρώκτου·
30,βρωσίμοις
31,παντοίοις.
32,ὅμοιον;
33,δὲ
34,λανθάνει
35,"πινακίου,"
36,"τετριμμένον,"
37,"περιβεβλημένα,"
38,"γάλακτος,"
39,"ποθοῦσιν,"
40,μάγειροι
41,παντοίοις.
42,"κολοκύνθας,"
43,σελίνοις·
44,ἀναστρεφομένων.
45,"πολέμου,"
46,συνέμιξα.
47,"ἔχοντα,"
48,"δάκνω,"
49,"ἄνδρα,"
50,ἐμοῦ.
51,"γῆν,"
52,"ἐπιφέρουσιν,"
53,ἐστι.
54,"ἐστὶν,"
55,λαβεῖν.
56,ἔλεγεν·
57,ἡμῖν
58,ἰδεῖν·
59,"βίον,"
60,"καλύψαι,"
61,κατοικεῖν.
62,ἐστίν.
63,ἀπόλλῃ.
64,ἀφίκῃ.
65,τάχος
66,αὐχένι.
67,"λίμνης,"
68,δὴ
69,"κλαίων,"
70,"τρίχας,"
71,αὐτοῦ
72,ἀφικέσθαι·
73,δέους.
74,κώπην
75,"ἀφικέσθαι,"
76,"κλαίων,"
77,ἐλάλει·
78,ἔρωτος
79,"Κρήτην,"
80,οἶκον
81,ὕδατι.
82,φοβερὸν
83,ὕδατος·
84,λογισάμενος
85,"καταλείπειν,"
86,μοῖραν.
87,"ὕδωρ,"
88,διεγόγγυζε.
89,δὲ
90,ἐκφυγεῖν.
91,αὐτῷ·
92,ἐφθέγξατο·
93,"πεποιηκὼς,"
94,ὑψηλῆς·
95,"πονηρότατε,"
96,ψευσάμενος
97,"ὀφθαλμόν,"
98,"σοι,"
99,διαδράσεις.
100,αὐτὸν
101,καθήμενος·
102,μυσίν·
103,"ἅπαντας,"
104,μάλα
105,"Τρωξάρτου,"
106,λίμνῃ
107,ὄχθας
108,ἐφέρετο.
109,πρῶτος
110,λόγον.
111,ἔπαθον
112,ἐγεγόνει·
113,"ἀπώλεσα,"
114,ἀρπάσασα
115,"αὐτὸν,"
116,εἵλκυσαν
117,"ἐξευρόντες,"
118,οὖσαν.
119,"μητρὶ,"
120,ἀπαγαγών.
121,"αὐτῶν,"
122,ποικίλοις.
123,γενέσθαι.
124,"ἔθηκαν,"
125,"κατασκευάσαντες,"
126,κατέφαγον·
127,ἦσαν
128,σιδήρου·
129,"φλοιὸς,"
130,"δερμάτων,"
131,κατασκεύασαν·
132,ταῦτα
133,τόπον
134,δεινοῦ·
135,"φήμη,"
136,"ῥάβδον,"
137,Τυρογλύφου
138,λόγον.
139,ὑμῖν
140,μάχην.
141,ἐφόνευσεν
142,"πολεμεῖτε,"
143,γεγόνατε.
144,πάντων
145,βατράχων.
146,ἔφη.
147,αὐτὸν
148,"λίμνην,"
149,πονηρότατοι
150,βουλὴν
151,ἀφανίσωμεν.
152,ἔχειν.
153,ἅπαντες
154,ἐστίν.
155,"ἔλθωσιν,"
156,"παραγένοιτο,"
157,ἐμβάλωμεν.
158,"νεῖν,"
159,τρόπαιον.
160,γενέσθαι·
161,"περιεκάλυψαν,"
162,πλατυτέρων·
163,κατεσκεύσαν·
164,"μακρὸς,"
165,αὐτῶν·
166,"ὄχθαις,"
167,ἐπληροῦτο.
168,"οὐρανὸν,"
169,πολεμιστὰς
170,"ἔχοντας,"
171,γιγάντων·
172,ἀλαζόνων·
173,στράτευμα·
174,"βοηθοὶ,"
175,εἶπεν.
176,"ἀπέρχῃ,"
177,ἀεὶ
178,πολλοῖς.
179,Ἀθηνᾶ.
180,καταπονουμένοις
181,"εἰργάσαντο,"
182,ἐλαίου·
183,"εἰργάσαντο,"
184,ὕφανα
185,"ἔκλωσα,"
186,"παρεγένετο,"
187,"ἐθυμώθην,"
188,"ἀποδοῦναι,"
189,θεοῖς.
190,ἐθελήσω·
191,πρότερον
192,"ἐπλήσθην,"
193,"ποιοῦντες,"
194,"κατεκίμην,"
195,ἀλεκτρυών.
196,βοηθεῖν
197,"τμητικῷ,"
198,"ξίφει,"
199,"παραγένοιτο,"
200,ἀγαλλώμεθα.
201,θεοὶ·
202,τόπον.
203,φέροντες.
204,φέροντες
205,δὲ
206,χαλεποῦ.
207,"Λειχήνορα,"
208,ἥπατος
209,κόνῃ.
210,"ὑιὸν,"
211,αὐτὸν
212,σώματος.
213,ἀνεῖλεν·
214,"Πολύφωνον,"
215,μελῶν.
216,"ἀνῃρημένον,"
217,τράχηλον
218,περιεκάλυψε.
219,ἀνδρεῖον·
220,"σχοίνῳ,"
221,αὐτὸν
222,κατέπεσε·
223,δόρατι·
224,"ὄχθας,"
225,αὐτὸν.
226,αἵματι
227,"ἐξήπλωτο,"
228,λαγόσιν.
229,"ἀπέκτεινεν,"
230,"βάθος,"
231,ἀποῤῥίψας·
232,Ἐμβασίχυτρος·
233,"βασιλέα,"
234,δὲ
235,αἵματι.
236,Βορβοροκοίτην
237,περιεκάλυψεν·
238,"ὄντα,"
239,χειρι.
240,"φίλων,"
241,ἐλθόντα
242,ἔξω.
243,"αὐτὸν,"
244,ἐξετύφλωσεν.
245,χειρὶ
246,"γῆς,"
247,συνετρίβη
248,κόνει.
249,αὐτοῦ
250,ἔνδον
251,πάντα
252,ἰσχυρᾷ.
253,ποταμοῦ
254,χαλεπῶς.
255,θάνατον.
256,ποδὸς·
257,χαλεπῶς.
258,"πνέοντα,"
259,ὀξεῖ·
260,αἰχμή.
261,κράνος
262,"θεὸν,"
263,στρατὸν.
264,καρτερῶν
265,λίμνης
266,ἄλλων
267,"Ἀρτεπιβούλυ,"
268,"Ἄρει,"
269,"πολέμου,"
270,"λίμνην,"
271,"διετείνετο,"
272,"μέρη,"
273,ὤμοις.
274,"λίμνην,"
275,"ἦν,"
276,"θεῶν,"
277,ὑιὸς.
278,φωνὴν.
279,"ὀφθαλμοῖς,"
280,λίμνην
281,τάχος
282,"Ἄρεα,"
283,γενναῖον·
284,λέγων·
285,Ἄρεος
286,θάνατον
287,ὅπλον
288,"ᾖ,"
289,"ἅπαντας,"
290,"ἰσχυρὸν,"
291,Γιγάντων.
292,καυστικόν.
293,"συνετάραξεν,"
294,Διὸς
295,βασιλέως.
296,μύας·
297,μᾶλλον
298,πολεμιστῶν·
299,ὑιός.
300,ἀπέστειλεν.
301,"ὄνυχας,"
302,"ὀστρακώδη,"
303,"ὤμοις,"
304,"ὁρῶντες,"
305,ὀνομάζονται
306,"στόμασιν,"
307,"δόρατα,"
308,"παρέμειναν,"
309,"ἔδυνε,"
310,ἐτελεσιουργήθη.
